Row 1: A:id_reserva | B:destino | C:tipo_alojamiento | D:canal_reserva | E:fecha_reserva | F:cantidad_noches | G:tarifa_noche_ars | H:ingreso_total_ars | I:ocupacion_destino_pct | J:comision_booking_ars
Row 2: A:1 | B:Córdoba | C:Suite Premium | D:Booking | E:2026-03-12 | F:5 | G:129256 | H:646280 | I:63 | J:96942
Row 3: A:2 | B:Córdoba | C:Suite Premium | D:Booking | E:2026-05-20 | F:3 | G:177397 | H:532191 | I:82 | J:79828.64999999999
Row 4: A:3 | B:Monte Hermoso | C:Cabaña Standard | D:Booking | E:2026-03-01 | F:10 | G:168907 | H:1689070 | I:41 | J:253360.5
Row 5: A:4 | B:Córdoba | C:Suite Premium | D:Booking | E:2026-05-20 | F:8 | G:128893 | H:1031144 | I:83 | J:154671.6
Row 6: A:5 | B:Córdoba | C:Cabaña Standard | D:Booking | E:2026-02-10 | F:8 | G:144597 | H:1156776 | I:72 | J:173516.4
Row 7: A:6 | B:Monte Hermoso | C:Cabaña Familiar | D:Booking | E:2026-01-27 | F:3 | G:139797 | H:419391 | I:46 | J:62908.65
Row 8: A:7 | B:Bariloche | C:Suite Premium | D:WhatsApp | E:2026-03-09 | F:2 | G:235647 | H:471294 | I:89 | J:0
Row 9: A:8 | B:Córdoba | C:Cabaña Familiar | D:Booking | E:2026-01-21 | F:10 | G:138427 | H:1384270 | I:78 | J:207640.5
Row 10: A:9 | B:Córdoba | C:Cabaña Standard | D:Booking | E:2026-01-12 | F:5 | G:137930 | H:689650 | I:60 | J:103447.5
Row 11: A:10 | B:Monte Hermoso | C:Cabaña Familiar | D:WhatsApp | E:2026-03-13 | F:9 | G:173320 | H:1559880 | I:63 | J:0
Row 12: A:11 | B:Monte Hermoso | C:Cabaña Standard | D:Booking | E:2026-03-10 | F:3 | G:169840 | H:509520 | I:80 | J:76428
Row 13: A:12 | B:Monte Hermoso | C:Cabaña Standard | D:Web Propia | E:2026-02-11 | F:9 | G:139735 | H:1257615 | I:57 | J:0
Row 14: A:13 | B:Córdoba | C:Cabaña Standard | D:Web Propia | E:2026-03-25 | F:2 | G:130021 | H:260042 | I:57 | J:0
Row 15: A:14 | B:Bariloche | C:Cabaña Standard | D:Booking | E:2026-02-24 | F:7 | G:167869 | H:1175083 | I:95 | J:176262.45
Row 16: A:15 | B:Bariloche | C:Suite Premium | D:Booking | E:2026-04-28 | F:4 | G:174718 | H:698872 | I:79 | J:104830.8
Row 17: A:16 | B:Monte Hermoso | C:Suite Premium | D:WhatsApp | E:2026-03-09 | F:8 | G:166484 | H:1331872 | I:65 | J:0
Row 18: A:17 | B:Bariloche | C:Cabaña Standard | D:Booking | E:2026-05-11 | F:9 | G:151915 | H:1367235 | I:76 | J:205085.25
